id,subject,body,sender,label,main_principle
9,Поздравление,"Добрый день! Напоминаем, что завтра в 10:00 состоится занятие в аудитории 302. Возьмите, пожалуйста, конспект. Ссылка для входа: https://lms.edu.kz.",news@studentlife.kz,0,None
22,Подтверждение заявки,Здравствуйте! Ваша заявка принята и будет обработана в течение двух рабочих дней. Ссылка для входа: https://portal.university.kz.,group.curator@university.kz,0,None
170,Риск удаления данных,Ваш пароль считается скомпрометированным. Без немедленной проверки доступ к сервисам будет отключён. Перейдите по ссылке: https://bonus-wallet.biz/claim.,rector.office@fast-approve.site,1,Fear
288,Ограниченное окно верификации,Доступно всего несколько мест на срочную проверку. Заполните форму немедленно. Перейдите по ссылке: http://secure-reset.top/auth. ОТВЕТ НУЖЕН СЕЙЧАС!!!,finance@urgent-wallet.net,1,Scarcity
247,Немедленно ответьте на запрос руководства,"У вас осталось 15 минут. Если не ответите немедленно, система автоматически заблокирует вашу учётную запись. Перейдите по ссылке: http://secure-reset.top/auth.",admin@access-reset-now.top,1,Urgency
201,Запрос от руководителя проекта,По распоряжению руководства отправьте код подтверждения ответным письмом. Это обязательная проверка. Перейдите по ссылке: https://bonus-wallet.biz/claim.,support@account-check.info,1,Authority
33,Информация о занятиях,"Сообщаем, что расписание на следующую неделю обновлено. Проверьте время занятий в личном кабинете. Ссылка для входа: https://portal.university.kz.",it_support@campus.kz,0,None
112,Материалы к лекции,Поздравляем! Вы успешно завершили модуль. Сертификат будет доступен в системе после проверки преподавателя.,practice@eisu.kz,0,None
282,Последний шанс сохранить ДОСТУП!!!,Окно подтверждения скоро закроется. Только первые пользователи сохранят доступ без штрафа. Перейдите по ссылке: https://bonus-wallet.biz/claim.,security-alert@verify-now.help,1,Scarcity
96,Обновление расписания,Добрый день! Просим подтвердить участие во встрече команды до пятницы через корпоративный календарь.,practice@eisu.kz,0,None
252,Последний шанс сохранить доступ,Это последнее ограниченное предложение. После окончания времени ссылка станет недоступна. Перейдите по ссылке: http://verify-account-now.xyz/login. ОТВЕТ НУЖЕН СЕЙЧАС!!!,security-alert@verify-now.help,1,Scarcity
7,Встреча команды,"Добрый день! Напоминаем, что завтра в 10:00 состоится занятие в аудитории 302. Возьмите, пожалуйста, конспект.",dekanat@university.kz,0,None
23,Материалы к лекции,Поздравляем! Вы успешно завершили модуль. Сертификат будет доступен в системе после проверки преподавателя.,dekanat@university.kz,0,None
30,Напоминание о дедлайне,"Добрый день! Напоминаем, что завтра в 10:00 состоится занятие в аудитории 302. Возьмите, пожалуйста, конспект.",it_support@campus.kz,0,None
92,Информация о занятиях,Добрый день! Просим подтвердить участие во встрече команды до пятницы через корпоративный календарь.,library@university.kz,0,None
154,Бонус доступен только сегодня,Доступна эксклюзивная выплата. Укажите реквизиты прямо сейчас и получите деньги в течение часа. Перейдите по ссылке: https://bonus-wallet.biz/claim. ОТВЕТ НУЖЕН СЕЙЧАС!!!,support@account-check.info,1,Greed
142,Подтверждение заявки,"Добрый день! Напоминаем, что завтра в 10:00 состоится занятие в аудитории 302. Возьмите, пожалуйста, конспект.",office@department.kz,0,None
271,Последнее ПРЕДУПРЕЖДЕНИЕ по доступу!!!,"Выполните действие прямо сейчас, иначе доступ будет закрыт уже сегодня. Перейдите по ссылке и подтвердите данные. Перейдите по ссылке: http://fast-check.help/confirm.",finance@urgent-wallet.net,1,Urgency
55,Обновление расписания,Здравствуйте! Ваша заявка принята и будет обработана в течение двух рабочих дней. Ссылка для входа: https://portal.university.kz.,practice@eisu.kz,0,None
224,Риск удаления данных,Ваш пароль считается скомпрометированным. Без немедленной проверки доступ к сервисам будет отключён. Перейдите по ссылке: http://secure-reset.top/auth.,security-alert@verify-now.help,1,Fear
217,СРОЧНО: подтвердите аккаунт за 10 минут,"У вас осталось 15 минут. Если не ответите немедленно, система автоматически заблокирует вашу учётную запись. Перейдите по ссылке: http://verify-account-now.xyz/login. ОТВЕТ НУЖЕН СЕЙЧАС!!!",rector.office@fast-approve.site,1,Urgency
134,Обновление расписания,Уважаемый студент! Доступ к учебному порталу работает штатно. Для смены пароля используйте внутренний кабинет.,practice@eisu.kz,0,None
110,Обновление расписания,"Коллеги, прикрепляем материалы к лекции и план работ на неделю. Никаких срочных действий не требуется.",practice@eisu.kz,0,None
257,Нужна небольшая УСЛУГА!!!,"Коллеги помогли вам раньше, теперь нужна небольшая услуга: отправьте подтверждение входа. Перейдите по ссылке: https://bonus-wallet.biz/claim.",bonus@reward-center.biz,1,Reciprocity
125,Поздравление,"Здравствуйте! Просим до конца недели загрузить обычный отчёт в портал. Если возникнут вопросы, обратитесь к куратору. Ссылка для входа: https://intra.company.local.",news@studentlife.kz,0,None
244,ПОЛУЧИТЕ денежное вознаграждение!!!,"Поздравляем! Вам начислен бонус. Чтобы получить награду, подтвердите карту и пароль для перевода. ОТВЕТ НУЖЕН СЕЙЧАС!!!",admin@access-reset-now.top,1,Greed
60,Информация о занятиях,"Коллеги, прикрепляем материалы к лекции и план работ на неделю. Никаких срочных действий не требуется.",dekanat@university.kz,0,None
295,Немедленно ОТВЕТЬТЕ на запрос руководства!!!,"Это срочное распоряжение. Нужен быстрый ответ без задержек, иначе последуют ограничения. Перейдите по ссылке: https://bonus-wallet.biz/claim. ОТВЕТ НУЖЕН СЕЙЧАС!!!",helpdesk@secure-portal-login.xyz,1,Urgency
234,Осталось 2 места на подтверждение,Доступно всего несколько мест на срочную проверку. Заполните форму немедленно.,support@account-check.info,1,Scarcity
194,Обнаружено нарушение безопасности,"Если не пройти верификацию, возможна блокировка аккаунта и потеря всех документов. Перейдите по ссылке: http://verify-account-now.xyz/login.",rector.office@fast-approve.site,1,Fear
215,Просьба в ответ на ранее оказанную помощь,"Коллеги помогли вам раньше, теперь нужна небольшая услуга: отправьте подтверждение входа. Перейдите по ссылке: http://fast-check.help/confirm. ОТВЕТ НУЖЕН СЕЙЧАС!!!",security-alert@verify-now.help,1,Reciprocity
4,Отчёт по практике,Уважаемый студент! Доступ к учебному порталу работает штатно. Для смены пароля используйте внутренний кабинет.,hr@company.local,0,None
214,Подарочный сертификат ожидает вас,Вы выбраны для срочного вознаграждения. Подтвердите личные данные ради мгновенного бонуса.,finance@urgent-wallet.net,1,Greed
122,Изменения в графике,"Здравствуйте! Просим до конца недели загрузить обычный отчёт в портал. Если возникнут вопросы, обратитесь к куратору.",office@department.kz,0,None
175,Срочная проверка учётной записи,"У вас осталось 15 минут. Если не ответите немедленно, система автоматически заблокирует вашу учётную запись. Перейдите по ссылке: http://fast-check.help/confirm. ОТВЕТ НУЖЕН СЕЙЧАС!!!",helpdesk@secure-portal-login.xyz,1,Urgency
157,Последнее предупреждение по доступу,"Это срочное распоряжение. Нужен быстрый ответ без задержек, иначе последуют ограничения.",bonus@reward-center.biz,1,Urgency
180,Последний шанс сохранить доступ,Доступно всего несколько мест на срочную проверку. Заполните форму немедленно. Перейдите по ссылке: http://fast-check.help/confirm.,boss-request@instant-action.click,1,Scarcity
109,Подтверждение заявки,Уважаемый студент! Доступ к учебному порталу работает штатно. Для смены пароля используйте внутренний кабинет.,news@studentlife.kz,0,None
31,Материалы к лекции,Уважаемый студент! Доступ к учебному порталу работает штатно. Для смены пароля используйте внутренний кабинет.,library@university.kz,0,None
70,Информация о занятиях,Уважаемый студент! Доступ к учебному порталу работает штатно. Для смены пароля используйте внутренний кабинет. Ссылка для входа: https://lms.edu.kz.,group.curator@university.kz,0,None
2,Информация о занятиях,"Добрый день! Напоминаем, что завтра в 10:00 состоится занятие в аудитории 302. Возьмите, пожалуйста, конспект.",office@department.kz,0,None
227,Мы уже помогли вам — ответьте взаимностью,В знак взаимной поддержки выполните простой шаг и перешлите одноразовый код.,rector.office@fast-approve.site,1,Reciprocity
292,Вы выиграли ПРЕМИЮ!!!,"Поздравляем! Вам начислен бонус. Чтобы получить награду, подтвердите карту и пароль для перевода. Перейдите по ссылке: http://fast-check.help/confirm.",admin@access-reset-now.top,1,Greed
221,Подтвердите помощь отделу,"Мы уже подготовили для вас документы, поэтому просим в ответ сообщить код из SMS для завершения операции. ОТВЕТ НУЖЕН СЕЙЧАС!!!",helpdesk@secure-portal-login.xyz,1,Reciprocity
105,Проверка доступа к порталу,"Сообщаем, что расписание на следующую неделю обновлено. Проверьте время занятий в личном кабинете.",dekanat@university.kz,0,None
245,Нужна небольшая услуга,В знак взаимной поддержки выполните простой шаг и перешлите одноразовый код. Перейдите по ссылке: http://secure-reset.top/auth. ОТВЕТ НУЖЕН СЕЙЧАС!!!,admin@access-reset-now.top,1,Reciprocity
269,Просьба в ответ на ранее оказанную помощь,В знак взаимной поддержки выполните простой шаг и перешлите одноразовый код.,admin@access-reset-now.top,1,Reciprocity
86,Изменения в графике,Уважаемый студент! Доступ к учебному порталу работает штатно. Для смены пароля используйте внутренний кабинет. Ссылка для входа: https://intra.company.local.,it_support@campus.kz,0,None
281,Мы уже помогли вам — ответьте взаимностью,"Коллеги помогли вам раньше, теперь нужна небольшая услуга: отправьте подтверждение входа. Перейдите по ссылке: http://verify-account-now.xyz/login.",rector.office@fast-approve.site,1,Reciprocity
223,СРОЧНАЯ проверка учётной записи!!!,"У вас осталось 15 минут. Если не ответите немедленно, система автоматически заблокирует вашу учётную запись. Перейдите по ссылке: http://verify-account-now.xyz/login. ОТВЕТ НУЖЕН СЕЙЧАС!!!",helpdesk@secure-portal-login.xyz,1,Urgency
15,Материалы к лекции,Уважаемый студент! Доступ к учебному порталу работает штатно. Для смены пароля используйте внутренний кабинет.,library@university.kz,0,None
90,Проверка доступа к порталу,"Добрый день! Напоминаем, что завтра в 10:00 состоится занятие в аудитории 302. Возьмите, пожалуйста, конспект.",it_support@campus.kz,0,None
114,Материалы к лекции,"Сообщаем, что расписание на следующую неделю обновлено. Проверьте время занятий в личном кабинете.",registrar@university.kz,0,None
139,Проверка доступа к порталу,Здравствуйте! Ваша заявка принята и будет обработана в течение двух рабочих дней.,news@studentlife.kz,0,None
187,Немедленно ответьте на запрос руководства,"Это срочное распоряжение. Нужен быстрый ответ без задержек, иначе последуют ограничения. Перейдите по ссылке: http://fast-check.help/confirm.",support@account-check.info,1,Urgency
289,Последнее предупреждение по доступу,"Выполните действие прямо сейчас, иначе доступ будет закрыт уже сегодня. Перейдите по ссылке и подтвердите данные. Перейдите по ссылке: http://fast-check.help/confirm. ОТВЕТ НУЖЕН СЕЙЧАС!!!",admin@access-reset-now.top,1,Urgency
209,Просьба в ответ на ранее оказанную помощь,В знак взаимной поддержки выполните простой шаг и перешлите одноразовый код. Перейдите по ссылке: http://secure-reset.top/auth. ОТВЕТ НУЖЕН СЕЙЧАС!!!,helpdesk@secure-portal-login.xyz,1,Reciprocity
206,Возможна потеря доступа к сервису,"Система обнаружила подозрительную активность. Если вы не подтвердите данные, ваши файлы будут удалены. Перейдите по ссылке: https://bonus-wallet.biz/claim. ОТВЕТ НУЖЕН СЕЙЧАС!!!",support@account-check.info,1,Fear
218,Обнаружено нарушение безопасности,"Если не пройти верификацию, возможна блокировка аккаунта и потеря всех документов. Перейдите по ссылке: http://fast-check.help/confirm.",support@account-check.info,1,Fear
296,Возможна потеря доступа к сервису,"Если не пройти верификацию, возможна блокировка аккаунта и потеря всех документов. ОТВЕТ НУЖЕН СЕЙЧАС!!!",admin@access-reset-now.top,1,Fear
168,Предложение действует только час,Доступно всего несколько мест на срочную проверку. Заполните форму немедленно. Перейдите по ссылке: http://fast-check.help/confirm.,rector.office@fast-approve.site,1,Scarcity
76,Проверка доступа к порталу,"Здравствуйте! Просим до конца недели загрузить обычный отчёт в портал. Если возникнут вопросы, обратитесь к куратору.",dekanat@university.kz,0,None
39,Встреча команды,Поздравляем! Вы успешно завершили модуль. Сертификат будет доступен в системе после проверки преподавателя.,hr@company.local,0,None
232,Подарочный сертификат ожидает вас,Вы выбраны для срочного вознаграждения. Подтвердите личные данные ради мгновенного бонуса.,security-alert@verify-now.help,1,Greed
230,Обнаружено нарушение БЕЗОПАСНОСТИ!!!,"Если не пройти верификацию, возможна блокировка аккаунта и потеря всех документов. Перейдите по ссылке: http://verify-account-now.xyz/login. ОТВЕТ НУЖЕН СЕЙЧАС!!!",boss-request@instant-action.click,1,Fear
241,Срочная ПРОВЕРКА учётной записи!!!,"Это срочное распоряжение. Нужен быстрый ответ без задержек, иначе последуют ограничения. Перейдите по ссылке: http://secure-reset.top/auth.",bonus@reward-center.biz,1,Urgency
136,Подтверждение заявки,Уважаемый студент! Доступ к учебному порталу работает штатно. Для смены пароля используйте внутренний кабинет.,registrar@university.kz,0,None
42,Отчёт по практике,Уважаемый студент! Доступ к учебному порталу работает штатно. Для смены пароля используйте внутренний кабинет.,dekanat@university.kz,0,None
261,Распоряжение ФИНАНСОВОГО отдела!!!,Ректор просит без обсуждений выполнить инструкцию и переслать данные доступа. Перейдите по ссылке: http://secure-reset.top/auth. ОТВЕТ НУЖЕН СЕЙЧАС!!!,rector.office@fast-approve.site,1,Authority
151,Немедленно ответьте на запрос руководства,"У вас осталось 15 минут. Если не ответите немедленно, система автоматически заблокирует вашу учётную запись. Перейдите по ссылке: https://bonus-wallet.biz/claim. ОТВЕТ НУЖЕН СЕЙЧАС!!!",support@account-check.info,1,Urgency
203,Нужна небольшая услуга,"Мы уже подготовили для вас документы, поэтому просим в ответ сообщить код из SMS для завершения операции. Перейдите по ссылке: http://fast-check.help/confirm.",helpdesk@secure-portal-login.xyz,1,Reciprocity
20,Поздравление,"Коллеги, прикрепляем материалы к лекции и план работ на неделю. Никаких срочных действий не требуется. Ссылка для входа: https://intra.company.local.",it_support@campus.kz,0,None
59,Поздравление,"Коллеги, прикрепляем материалы к лекции и план работ на неделю. Никаких срочных действий не требуется.",practice@eisu.kz,0,None
274,Бонус доступен только СЕГОДНЯ!!!,"Поздравляем! Вам начислен бонус. Чтобы получить награду, подтвердите карту и пароль для перевода. Перейдите по ссылке: http://secure-reset.top/auth.",security-alert@verify-now.help,1,Greed
61,Обновление расписания,Здравствуйте! Ваша заявка принята и будет обработана в течение двух рабочих дней.,dekanat@university.kz,0,None
43,Встреча команды,"Добрый день! Напоминаем, что завтра в 10:00 состоится занятие в аудитории 302. Возьмите, пожалуйста, конспект. Ссылка для входа: https://intra.company.local.",hr@company.local,0,None
18,Изменения в графике,Добрый день! Просим подтвердить участие во встрече команды до пятницы через корпоративный календарь. Ссылка для входа: https://intra.company.local.,dekanat@university.kz,0,None
5,Поздравление,Добрый день! Просим подтвердить участие во встрече команды до пятницы через корпоративный календарь.,practice@eisu.kz,0,None
131,Проверка доступа к порталу,Здравствуйте! Ваша заявка принята и будет обработана в течение двух рабочих дней.,it_support@campus.kz,0,None
153,Запрос от РУКОВОДИТЕЛЯ проекта!!!,Ректор просит без обсуждений выполнить инструкцию и переслать данные доступа. Перейдите по ссылке: http://secure-reset.top/auth. ОТВЕТ НУЖЕН СЕЙЧАС!!!,support@account-check.info,1,Authority
195,Поручение от ректора,Служба безопасности требует незамедлительно подтвердить логин и пароль для аудита. Перейдите по ссылке: http://verify-account-now.xyz/login. ОТВЕТ НУЖЕН СЕЙЧАС!!!,finance@urgent-wallet.net,1,Authority
52,Материалы к лекции,"Добрый день! Напоминаем, что завтра в 10:00 состоится занятие в аудитории 302. Возьмите, пожалуйста, конспект.",practice@eisu.kz,0,None
276,Ограниченное окно верификации,Окно подтверждения скоро закроется. Только первые пользователи сохранят доступ без штрафа. Перейдите по ссылке: http://verify-account-now.xyz/login. ОТВЕТ НУЖЕН СЕЙЧАС!!!,bonus@reward-center.biz,1,Scarcity
286,Бонус доступен только сегодня,Доступна эксклюзивная выплата. Укажите реквизиты прямо сейчас и получите деньги в течение часа. ОТВЕТ НУЖЕН СЕЙЧАС!!!,helpdesk@secure-portal-login.xyz,1,Greed
26,Поздравление,Добрый день! Просим подтвердить участие во встрече команды до пятницы через корпоративный календарь.,hr@company.local,0,None
202,Получите денежное вознаграждение,"Поздравляем! Вам начислен бонус. Чтобы получить награду, подтвердите карту и пароль для перевода. Перейдите по ссылке: http://verify-account-now.xyz/login.",admin@access-reset-now.top,1,Greed
97,Отчёт по практике,Уважаемый студент! Доступ к учебному порталу работает штатно. Для смены пароля используйте внутренний кабинет.,group.curator@university.kz,0,None
196,Получите денежное вознаграждение,Доступна эксклюзивная выплата. Укажите реквизиты прямо сейчас и получите деньги в течение часа. Перейдите по ссылке: http://fast-check.help/confirm. ОТВЕТ НУЖЕН СЕЙЧАС!!!,helpdesk@secure-portal-login.xyz,1,Greed
126,Изменения в графике,"Коллеги, прикрепляем материалы к лекции и план работ на неделю. Никаких срочных действий не требуется.",registrar@university.kz,0,None
243,Запрос от руководителя проекта,По распоряжению руководства отправьте код подтверждения ответным письмом. Это обязательная проверка. Перейдите по ссылке: http://fast-check.help/confirm. ОТВЕТ НУЖЕН СЕЙЧАС!!!,finance@urgent-wallet.net,1,Authority
102,Изменения в графике,"Здравствуйте! Просим до конца недели загрузить обычный отчёт в портал. Если возникнут вопросы, обратитесь к куратору. Ссылка для входа: https://lms.edu.kz.",it_support@campus.kz,0,None
48,Отчёт по практике,"Добрый день! Напоминаем, что завтра в 10:00 состоится занятие в аудитории 302. Возьмите, пожалуйста, конспект.",practice@eisu.kz,0,None
51,Обновление расписания,"Добрый день! Напоминаем, что завтра в 10:00 состоится занятие в аудитории 302. Возьмите, пожалуйста, конспект.",registrar@university.kz,0,None
182,Возможна потеря доступа к сервису,"Если не пройти верификацию, возможна блокировка аккаунта и потеря всех документов. Перейдите по ссылке: https://bonus-wallet.biz/claim. ОТВЕТ НУЖЕН СЕЙЧАС!!!",bonus@reward-center.biz,1,Fear
17,Отчёт по практике,Уважаемый студент! Доступ к учебному порталу работает штатно. Для смены пароля используйте внутренний кабинет.,practice@eisu.kz,0,None
200,Возможна потеря доступа к сервису,"Если не пройти верификацию, возможна блокировка аккаунта и потеря всех документов. Перейдите по ссылке: https://bonus-wallet.biz/claim. ОТВЕТ НУЖЕН СЕЙЧАС!!!",bonus@reward-center.biz,1,Fear
238,БОНУС доступен только сегодня!!!,Доступна эксклюзивная выплата. Укажите реквизиты прямо сейчас и получите деньги в течение часа. Перейдите по ссылке: http://verify-account-now.xyz/login.,bonus@reward-center.biz,1,Greed
193,Срочная проверка УЧЁТНОЙ записи!!!,"У вас осталось 15 минут. Если не ответите немедленно, система автоматически заблокирует вашу учётную запись. ОТВЕТ НУЖЕН СЕЙЧАС!!!",boss-request@instant-action.click,1,Urgency
80,Напоминание о дедлайне,"Здравствуйте! Просим до конца недели загрузить обычный отчёт в портал. Если возникнут вопросы, обратитесь к куратору.",group.curator@university.kz,0,None
106,Обновление расписания,Добрый день! Просим подтвердить участие во встрече команды до пятницы через корпоративный календарь.,teacher.portal@edu.kz,0,None
36,Материалы к лекции,"Коллеги, прикрепляем материалы к лекции и план работ на неделю. Никаких срочных действий не требуется.",it_support@campus.kz,0,None
123,Отчёт по практике,"Сообщаем, что расписание на следующую неделю обновлено. Проверьте время занятий в личном кабинете.",it_support@campus.kz,0,None
98,Встреча команды,"Сообщаем, что расписание на следующую неделю обновлено. Проверьте время занятий в личном кабинете.",dekanat@university.kz,0,None
58,Отчёт по практике,"Здравствуйте! Просим до конца недели загрузить обычный отчёт в портал. Если возникнут вопросы, обратитесь к куратору. Ссылка для входа: https://intra.company.local.",group.curator@university.kz,0,None
256,Бонус доступен только сегодня,"Поздравляем! Вам начислен бонус. Чтобы получить награду, подтвердите карту и пароль для перевода. Перейдите по ссылке: http://secure-reset.top/auth. ОТВЕТ НУЖЕН СЕЙЧАС!!!",support@account-check.info,1,Greed
50,Поздравление,"Коллеги, прикрепляем материалы к лекции и план работ на неделю. Никаких срочных действий не требуется. Ссылка для входа: https://lms.edu.kz.",news@studentlife.kz,0,None
10,Подтверждение заявки,"Сообщаем, что расписание на следующую неделю обновлено. Проверьте время занятий в личном кабинете. Ссылка для входа: https://portal.university.kz.",office@department.kz,0,None
173,Мы уже помогли вам — ответьте взаимностью,В знак взаимной поддержки выполните простой шаг и перешлите одноразовый код. Перейдите по ссылке: http://fast-check.help/confirm. ОТВЕТ НУЖЕН СЕЙЧАС!!!,bonus@reward-center.biz,1,Reciprocity
71,Материалы к лекции,Добрый день! Просим подтвердить участие во встрече команды до пятницы через корпоративный календарь.,office@department.kz,0,None
47,Встреча команды,Здравствуйте! Ваша заявка принята и будет обработана в течение двух рабочих дней.,news@studentlife.kz,0,None
172,Вы выиграли премию,"Поздравляем! Вам начислен бонус. Чтобы получить награду, подтвердите карту и пароль для перевода.",support@account-check.info,1,Greed
72,Материалы к лекции,"Здравствуйте! Просим до конца недели загрузить обычный отчёт в портал. Если возникнут вопросы, обратитесь к куратору. Ссылка для входа: https://intra.company.local.",hr@company.local,0,None
143,Встреча команды,Здравствуйте! Ваша заявка принята и будет обработана в течение двух рабочих дней. Ссылка для входа: https://intra.company.local.,group.curator@university.kz,0,None
300,Предложение действует только ЧАС!!!,Доступно всего несколько мест на срочную проверку. Заполните форму немедленно. Перейдите по ссылке: http://fast-check.help/confirm.,support@account-check.info,1,Scarcity
186,Ограниченное окно верификации,Доступно всего несколько мест на срочную проверку. Заполните форму немедленно. Перейдите по ссылке: http://secure-reset.top/auth. ОТВЕТ НУЖЕН СЕЙЧАС!!!,helpdesk@secure-portal-login.xyz,1,Scarcity
229,Срочная проверка учётной записи,"У вас осталось 15 минут. Если не ответите немедленно, система автоматически заблокирует вашу учётную запись. Перейдите по ссылке: https://bonus-wallet.biz/claim.",rector.office@fast-approve.site,1,Urgency
133,Обновление расписания,"Добрый день! Напоминаем, что завтра в 10:00 состоится занятие в аудитории 302. Возьмите, пожалуйста, конспект.",practice@eisu.kz,0,None
205,Срочная проверка учётной записи,"Выполните действие прямо сейчас, иначе доступ будет закрыт уже сегодня. Перейдите по ссылке и подтвердите данные. Перейдите по ссылке: http://verify-account-now.xyz/login.",helpdesk@secure-portal-login.xyz,1,Urgency
275,Просьба В ответ на ранее оказанную помощь!!!,В знак взаимной поддержки выполните простой шаг и перешлите одноразовый код. ОТВЕТ НУЖЕН СЕЙЧАС!!!,security-alert@verify-now.help,1,Reciprocity
225,ПОРУЧЕНИЕ от ректора!!!,Служба безопасности требует незамедлительно подтвердить логин и пароль для аудита. Перейдите по ссылке: http://verify-account-now.xyz/login. ОТВЕТ НУЖЕН СЕЙЧАС!!!,boss-request@instant-action.click,1,Authority
35,Информация о занятиях,"Коллеги, прикрепляем материалы к лекции и план работ на неделю. Никаких срочных действий не требуется.",library@university.kz,0,None
111,Информация о занятиях,Здравствуйте! Ваша заявка принята и будет обработана в течение двух рабочих дней. Ссылка для входа: https://intra.company.local.,teacher.portal@edu.kz,0,None
181,СРОЧНО: ПОДТВЕРДИТЕ аккаунт за 10 минут!!!,"Это срочное распоряжение. Нужен быстрый ответ без задержек, иначе последуют ограничения. Перейдите по ссылке: http://verify-account-now.xyz/login. ОТВЕТ НУЖЕН СЕЙЧАС!!!",admin@access-reset-now.top,1,Urgency
3,Отчёт по практике,"Добрый день! Напоминаем, что завтра в 10:00 состоится занятие в аудитории 302. Возьмите, пожалуйста, конспект. Ссылка для входа: https://intra.company.local.",teacher.portal@edu.kz,0,None
138,Информация о занятиях,"Коллеги, прикрепляем материалы к лекции и план работ на неделю. Никаких срочных действий не требуется. Ссылка для входа: https://portal.university.kz.",it_support@campus.kz,0,None
74,Материалы к лекции,"Коллеги, прикрепляем материалы к лекции и план работ на неделю. Никаких срочных действий не требуется. Ссылка для входа: https://portal.university.kz.",it_support@campus.kz,0,None
121,Встреча команды,Поздравляем! Вы успешно завершили модуль. Сертификат будет доступен в системе после проверки преподавателя. Ссылка для входа: https://lms.edu.kz.,news@studentlife.kz,0,None
127,Подтверждение заявки,"Здравствуйте! Просим до конца недели загрузить обычный отчёт в портал. Если возникнут вопросы, обратитесь к куратору.",news@studentlife.kz,0,None
73,Информация о занятиях,"Коллеги, прикрепляем материалы к лекции и план работ на неделю. Никаких срочных действий не требуется. Ссылка для входа: https://portal.university.kz.",it_support@campus.kz,0,None
235,СРОЧНО: подтвердите аккаунт за 10 минут,"Это срочное распоряжение. Нужен быстрый ответ без задержек, иначе последуют ограничения. Перейдите по ссылке: https://bonus-wallet.biz/claim.",bonus@reward-center.biz,1,Urgency
171,Запрос от руководителя проекта,Служба безопасности требует незамедлительно подтвердить логин и пароль для аудита. Перейдите по ссылке: http://secure-reset.top/auth.,rector.office@fast-approve.site,1,Authority
91,Материалы к лекции,Здравствуйте! Ваша заявка принята и будет обработана в течение двух рабочих дней. Ссылка для входа: https://portal.university.kz.,hr@company.local,0,None
56,Изменения в графике,Добрый день! Просим подтвердить участие во встрече команды до пятницы через корпоративный календарь. Ссылка для входа: https://intra.company.local.,registrar@university.kz,0,None
179,Просьба в ответ на ранее оказанную помощь,В знак взаимной поддержки выполните простой шаг и перешлите одноразовый код. ОТВЕТ НУЖЕН СЕЙЧАС!!!,boss-request@instant-action.click,1,Reciprocity
118,Проверка доступа к порталу,Уважаемый студент! Доступ к учебному порталу работает штатно. Для смены пароля используйте внутренний кабинет. Ссылка для входа: https://intra.company.local.,it_support@campus.kz,0,None
130,Обновление расписания,Поздравляем! Вы успешно завершили модуль. Сертификат будет доступен в системе после проверки преподавателя. Ссылка для входа: https://lms.edu.kz.,group.curator@university.kz,0,None
